StartTime,overload_DE,overload_DK,overload_HU,overload_IT,overload_NL,overload_PO,overload_SE,overload_SP,overload
2022-01-01 00:00:00,-127168.0,-2707.0,-15854.0,-16151.0,-40621.0,-13515.0,-8245.0,-17214.0,3.0
2022-01-01 01:00:00,-122434.0,-2607.0,-14830.0,-14690.0,-39380.0,-13140.0,-8182.0,-16073.0,3.0
2022-01-01 02:00:00,-118701.0,-2522.0,-14194.0,-14085.0,-38837.0,-12934.0,-8404.0,-15348.0,3.0
2022-01-01 03:00:00,-118389.0,-2576.0,-14044.0,-14791.0,-38126.0,-12890.0,-8214.0,-15113.0,3.0
2022-01-01 04:00:00,-118082.0,-2625.0,-14104.0,-15542.0,-38061.0,-12977.0,-8240.0,-15383.0,3.0
2022-01-01 05:00:00,-119961.0,-2684.0,-14369.0,-15348.0,-38871.0,-12978.0,-8081.0,-15530.0,3.0
2022-01-01 06:00:00,-124400.0,-2658.0,-14430.0,-15592.0,-39885.0,-13069.0,-7635.0,-15482.0,3.0
2022-01-01 07:00:00,-130183.0,-2823.0,-14657.0,-17136.0,-40724.0,-13727.0,-7883.0,-16242.0,3.0
2022-01-01 08:00:00,-141309.0,-3039.0,-14951.0,-19068.0,-41658.0,-14400.0,-8256.0,-17714.0,3.0
2022-01-01 09:00:00,-149266.0,-3150.0,-15446.0,-19927.0,-42712.0,-15202.0,-8404.0,-18689.0,3.0
2022-01-01 10:00:00,-157489.0,-3161.0,-15898.0,-20449.0,-42411.0,-15802.0,-8303.0,-19245.0,3.0
2022-01-01 11:00:00,-158107.0,-3294.0,-16369.0,-19715.0,-42210.0,-16268.0,-8304.0,-19788.0,3.0
2022-01-01 12:00:00,-150901.0,-3159.0,-16597.0,-18983.0,-43070.0,-16418.0,-8374.0,-19937.0,3.0
2022-01-01 13:00:00,-147282.0,-3185.0,-16890.0,-19184.0,-44296.0,-16424.0,-8604.0,-18580.0,3.0
2022-01-01 14:00:00,-149634.0,-3362.0,-17452.0,-19268.0,-45785.0,-16806.0,-8526.0,-17615.0,3.0
2022-01-01 15:00:00,-158018.0,-3598.0,-18558.0,-20157.0,-48323.0,-16582.0,-8663.0,-17466.0,3.0
2022-01-01 16:00:00,-167593.0,-3557.0,-18569.0,-20655.0,-51937.0,-16654.0,-8676.0,-18665.0,3.0
2022-01-01 17:00:00,-168604.0,-3295.0,-18516.0,-20859.0,-51346.0,-16576.0,-8167.0,-19869.0,3.0
2022-01-01 18:00:00,-166329.0,-3277.0,-18479.0,-20972.0,-49915.0,-16320.0,-7928.0,-20269.0,3.0
2022-01-01 19:00:00,-164267.0,-3276.0,-18096.0,-20634.0,-47856.0,-15978.0,-7836.0,-20559.0,3.0
2022-01-01 20:00:00,-160632.0,-3147.0,-17543.0,-20070.0,-45969.0,-15554.0,-7719.0,-19869.0,3.0
2022-01-01 21:00:00,-156782.0,-3047.0,-16712.0,-18650.0,-44028.0,-14896.0,-7716.0,-18357.0,3.0
2022-01-01 22:00:00,-146631.0,-2986.0,-15779.0,-16755.0,-42191.0,-14044.0,-8859.0,-18066.0,3.0
2022-01-01 23:00:00,-129314.0,-2812.0,-14881.0,-15086.0,-40971.0,-13399.0,-8809.0,-16884.0,3.0
2022-01-02 00:00:00,-122200.0,-2775.0,-14306.0,-15041.0,-39481.0,-13017.0,-8766.0,-16115.0,3.0
2022-01-02 01:00:00,-120040.0,-2709.0,-13750.0,-14726.0,-38605.0,-12833.0,-9417.0,-15700.0,3.0
2022-01-02 02:00:00,-120787.0,-2642.0,-13556.0,-14677.0,-38152.0,-12888.0,-9650.0,-15410.0,3.0
2022-01-02 03:00:00,-120724.0,-2805.0,-13852.0,-14415.0,-38199.0,-13284.0,-9632.0,-15545.0,3.0
2022-01-02 04:00:00,-122499.0,-2865.0,-14428.0,-15877.0,-38895.0,-13752.0,-9754.0,-16106.0,3.0
2022-01-02 05:00:00,-129201.0,-3032.0,-15538.0,-17312.0,-40181.0,-14058.0,-9319.0,-16971.0,3.0
2022-01-02 06:00:00,-137413.0,-3174.0,-16283.0,-18229.0,-42154.0,-14475.0,-9324.0,-17552.0,3.0
2022-01-02 07:00:00,-150317.0,-3330.0,-17260.0,-19632.0,-44618.0,-15101.0,-8582.0,-18988.0,3.0
2022-01-02 08:00:00,-161863.0,-3446.0,-17755.0,-20384.0,-46478.0,-15936.0,-8454.0,-20886.0,3.0
2022-01-02 09:00:00,-173214.0,-3457.0,-17924.0,-21079.0,-46357.0,-16275.0,-8392.0,-21705.0,3.0
2022-01-02 10:00:00,-186647.0,-3482.0,-18242.0,-21876.0,-47914.0,-16660.0,-8424.0,-21912.0,3.0
2022-01-02 11:00:00,-187050.0,-3534.0,-18160.0,-21176.0,-48501.0,-17326.0,-8535.0,-22330.0,3.0
2022-01-02 12:00:00,-180913.0,-3437.0,-18248.0,-21093.0,-47576.0,-17439.0,-8450.0,-22509.0,3.0
2022-01-02 13:00:00,-179046.0,-3558.0,-18602.0,-21246.0,-47836.0,-17389.0,-8366.0,-21461.0,3.0
2022-01-02 14:00:00,-181309.0,-3667.0,-19338.0,-21825.0,-48906.0,-17717.0,-8489.0,-20486.0,3.0
2022-01-02 15:00:00,-193757.0,-4012.0,-20819.0,-22412.0,-51700.0,-17434.0,-8637.0,-19952.0,3.0
2022-01-02 16:00:00,-206017.0,-3912.0,-20925.0,-23418.0,-55503.0,-17221.0,-8654.0,-21338.0,3.0
2022-01-02 17:00:00,-203552.0,-3623.0,-20782.0,-24129.0,-54037.0,-17707.0,-8441.0,-21266.0,3.0
2022-01-02 18:00:00,-193693.0,-3613.0,-20539.0,-23811.0,-52493.0,-17660.0,-7911.0,-21672.0,3.0
2022-01-02 19:00:00,-181701.0,-3479.0,-19839.0,-23590.0,-50621.0,-17023.0,-7941.0,-21770.0,3.0
2022-01-02 20:00:00,-174098.0,-3241.0,-18847.0,-21620.0,-48530.0,-16431.0,-7905.0,-21164.0,3.0
2022-01-02 21:00:00,-163997.0,-3092.0,-17855.0,-19440.0,-46758.0,-15278.0,-8787.0,-19953.0,3.0
2022-01-02 22:00:00,-153962.0,-2930.0,-16692.0,-16811.0,-44383.0,-14500.0,-9866.0,-20083.0,3.0
2022-01-02 23:00:00,-139990.0,-2913.0,-15752.0,-15299.0,-42717.0,-14037.0,-9782.0,-18759.0,3.0
